Word,Translation,Context (RU),Context (EN),POS
правдоподобный,"plausible, believable, credible","прижали, заставили. Второй источник говорит более правдоподобную версию, но","pressured, coerced. The second source says a more plausible version, but",Adj
заставить,"made, forced, compelled","прижали, заставили. Второй источник говорит более правдоподобную версию, но","pressured, coerced. The second source says a more plausible version, but",Verb
вынудить,"forced, compelled, force","реально вынудили, походу это необходимо, походу всё не так однозначно"""". Как","really forced him, it looks like it's necessary, it looks like it's not that clear-cut.",Verb
гойд,"hurrah, hooray, hail","думать, думать и такой: """"Да, гойда походу гойда походу реально, да, походу","Yeah, it looks like it's really okay, yeah, it looks like they",Adv
прижать,"pressed, pinched, cornered","которые говорят несколько разные вещи. Момент первый. Его реально прижали,","who say slightly different things. The first point. He was really pressured,",Verb
пророча,"I prophesy, I foretell, I predict","будет хуже. Этот уровень будет меньше. Запомните, потому я не пророчу, я не","will be worse. This level will be less. Remember, because I am not prophesying, I am not",Verb
недопустимый,"inadmissible, impermissible, unacceptable","к этому идём. То, что нам кажется недопустимым сегодня, запомните это","moving towards this. What seems unacceptable to us today, remember this",Verb
правка,"edits, corrections, correction",правками. А в принципе интернет глобально становится менее свободным. Мы,"amendments. And in general, the internet is becoming less free globally. We are",Noun
внести,"made, introduced, brought","недавно внесла инициативу о том, что переписки необходимо читать постоянно в",recently introduced an initiative that correspondence in messengers must be constantly read,Verb
подпредить,"to warn, to prevent, to anticipate","Потому что как иначе подпредить твой возраст, как это сделали сейчас в","Because how else can you predict your age, like they did now in",Verb
угрожать,"threaten, menace, intimidate","национальные мессенджеры, начинают говорить о том, что ой, как же угрожают","national messengers, they're starting to talk about how",Verb
пугать,"scares, frightens, intimidates","появляться в Европе, что меня особенно пугает. А начинают говорить про","to appear in Europe, which particularly frightens me. And they're starting to talk about",Verb
пристально,"intently, closely, keenly","Вот знаете, все пристально наблюдают, как этот самый, значит, цифровой лагерь",-,Adv
райский,"paradise, heavenly, edenic","вылезанного материала и такие: """"О боже, Китай райская страна для жизни. Наше","stuff, and were like, """"Oh my God, China is a paradise. Our",Adj
вылезать,"licked, cleaned, polished","вылезанного материала и такие: """"О боже, Китай райская страна для жизни. Наше","stuff, and were like, """"Oh my God, China is a paradise. Our",Verb
хавать,"to eat, to chow down, to grub","блокировке ТикТока, пошли хавать китайскую пропаганду в Red Note. Это их","TikTok block began, went to Red Note to devour Chinese propaganda?  This is their",Verb
наговорить,"talked too much, said too much, spoke a lot","наговорили, сколько среди Польши людей, которые поддались на а тезисы местных","been fed all sorts of nonsense by media close to Orban, how many people in Poland have succumbed to the talking points of local",Verb
чуши,"nonsense, rubbish, trash","своей, сколько среди европейцев, а которым СМИ близкие к Орбану всякой чуши",", how many among Europeans have",Noun
сми,"mass media, media, monks","своей, сколько среди европейцев, а которым СМИ близкие к Орбану всякой чуши",", how many among Europeans have",Noun
вести,"led, guided, driven","абсолютно реальным. И для меня эта трагедия, насколько люди ведомые в массе","absolutely real.  And for me, this tragedy is how many people are led by the masses",Verb
разбомбить,"bomb, destroy by bombing, shell","разбомбите Киев"""" и вот эта вся риторика. А","bomb Kyiv,"""" and all that rhetoric.",Verb
хохлов,"Khokhol, Little Russian, Ruthenian","такие одуванчики бабушки, а у телевизора кричат: """"Сбросить ядерку на хохлов,","these sweet little dandelions of grandmothers are shouting at the TV : """"Drop a nuke on the crests,",Noun
сбросить,"drop, shed, throw off","такие одуванчики бабушки, а у телевизора кричат: """"Сбросить ядерку на хохлов,","these sweet little dandelions of grandmothers are shouting at the TV : """"Drop a nuke on the crests,",Verb
одуванчик,"dandelion, dandelions, blowballs","такие одуванчики бабушки, а у телевизора кричат: """"Сбросить ядерку на хохлов,","these sweet little dandelions of grandmothers are shouting at the TV : """"Drop a nuke on the crests,",Noun
милый,"dear, dearest, lovely",что в итоге? В итоге милейшие,"what's the bottom line? In the end,",Adj
вкормить,"to feed, to raise, to bring up","близкого для него человека, ты способен этому человеку вкормить.",person closest to him .   There,Verb
людоедский,"cannibalistic, man-eating, anthropophagous","существо. абсолютно любую, даже самую людоедскую мысль, даже против самого","creature.  You are capable of feeding this person absolutely any thought, even the most cannibalistic one, even against the",Adj
прошиваеть,"being flashed, stitched, sews through","полномасштабки? Самый главный вывод то, что человек абсолютно прошиваемое",full-scale operation?  The most important conclusion is that man is an absolutely programmable,Verb
полномасштабок,"full-scale, full-scale operation, full-scale exercise","полномасштабки? Самый главный вывод то, что человек абсолютно прошиваемое",full-scale operation?  The most important conclusion is that man is an absolutely programmable,Noun
вывод,"conclusions, findings, deductions","это ожидание, которого я хочу. Какие выводы ты сделал для себя за время",expectation I want?  What conclusions did you draw for yourself during the,Noun
нафиг,"screw it, to hell with it, forget it",язык не какой-то нафиг никому не нужный. Это китайский. Это второй по,language is not some kind of useless language that no one needs. This is Chinese.  It is the second,Adv
обслуживать,"to serve, to service, to attend","я выучил несколько фраз и слов, чтобы в кафешке себя обслужить. Тайваньцы были в",I learned a few phrases and words to help myself in the cafe.  The Taiwanese were,Verb
наказывать,"punishes, penalizes, punish","дальше, потому что общество тебя наказывает за твой акцент, тебя никто не","further, because society punishes you for your accent, no one",Verb
быт,"living, existence, life","Это достаточный уровень, чтобы в быту общаться. Но ноль мотивации учить",This is a sufficient level for everyday communication.  But there is zero motivation to study,Noun
птичий,"avian, bird's, bird","нет гражданства, ты всегда на птичьих правах. Тем более у","have citizenship, you are always on a bird's rights.  Moreover, I still have a",Adj
происхождение,"origin, provenance, descent","меня в принципе есть дом, потому что страна моего происхождения, моего","I have a home at all, because the country of my origin, my",Noun
бахнуть,"to bang, to blast, to shoot","бахнуть жёсткий кризис. Оно сильно валится. Подождите 10 лет, оно, скорее","severe crisis could strike.  It falls over a lot.  Wait 10 years, it will most likely",Verb
пророческий,"prophetic, prophetical, oracle","полмиллиона долларов, через 2 года, возможно, это пророческий прогноз, может","half a million dollars, in two years, perhaps this is a prophetic forecast, a",Adj
обвал,"collapse, avalanche, landslide","может лопнуть, но он заново будет расти. После любого обвала идёт рост. После","may burst, but it will grow again. After every collapse there comes growth.  After",Noun
лопаться,"burst, will burst, will pop","как будто бы сейчас. Это не значит, что рынок не лопнет. Понятное дело, что он",seems to be now.  This does not mean that the market will not burst.  It is clear that it,Verb
обусловить,"conditioned, determined, caused",- это товар. Её цена обусловлена спросом и недостаточным предложением. Во многих,is a commodity.  Its price is determined by demand and insufficient supply.  In many,Verb
погружён,"submerged, immersed, absorbed",пару недель. А поэтому я полностью погружён во все аспекты и интервью мы,couple of weeks.  And therefore I am completely immersed in all aspects and we will,Adj
сходиться,"converge, we agree, we converge",А по более приземлённым политическим темам мы плюс-минус сходимся. А тем не,But on more mundane political topics we more or less agree.  And,Verb
приземлённый,"grounded, down-to-earth, practical",А по более приземлённым политическим темам мы плюс-минус сходимся. А тем не,But on more mundane political topics we more or less agree.  And,Adj
задеть,"will hurt, will touch, to touch","заденет, он тебе за ночь накидает, ну, источников 50-100,","upsets him, he’ll throw you, well, 50-100 sources overnight",Verb
намотать,"wound, coiled, rolled up",намотаны именно Слиденом. У него есть такая привычка. Если вот его что-то,wound up by Sliden.  He has such a habit.  If something,Verb
